,id,model,elayer,filter,seq_len,dlayer,fc,ma,acc
0,Informer21mean1000_1_ma50,Informer,2,mean,1000,1,1,50,0.6963496474483805
1,LightTS11mean1000_1_ma100,LightTS,1,mean,1000,1,1,100,0.6567620202177091
2,LightTS11mean250_1_ma100,LightTS,1,mean,250,1,1,100,0.6258095374231097
3,LightTS11mean500_1_ma100,LightTS,1,mean,500,1,1,100,0.6388922213491822
4,MICN11low1000_1_ma100,MICN,1,low,1000,1,1,100,0.6475169390968767
5,MICN11low250_1_ma100,MICN,1,low,250,1,1,100,0.6238325586554072
6,MICN11low500_1_ma100,MICN,1,low,500,1,1,100,0.6366643937599618
7,MICN11mean1000_1_ma100,MICN,1,mean,1000,1,1,100,0.6364241498182324
8,MICN11mean250_1_ma100,MICN,1,mean,250,1,1,100,0.6089400527684222
9,MICN11mean500_1_ma100,MICN,1,mean,500,1,1,100,0.6189798217976826
10,Nonstationary_Transformer21mean1000_1_ma100,NSformer,2,mean,1000,1,1,100,0.7031524589209484
11,Pyraformer21mean500_1_ma50,Pyraformer,2,mean,500,1,1,50,0.690778631418147
12,Reformer21low500_1_ma50,Reformer,2,low,500,1,1,50,0.6924660119507863
13,Transformer21mean1000_1_ma100,Transformer,2,mean,1000,1,1,100,0.6891952026534788
14,consinc_net11mean1000_1_ma100,consinc_net,1,mean,1000,1,1,100,0.6471670698417337
15,conv_next11low500_1_ma100,conv_next,1,low,500,1,1,100,0.687861220909348
16,fcn21low1000_1_ma50,fcn,2,low,1000,1,1,50,0.7046510841627805
17,lstm21low1000_1_ma50,lstm,2,low,1000,1,1,50,0.7057547731402575
18,lstm21mean1000_1_ma50,lstm,2,mean,1000,1,1,50,0.7041586804256735
19,lstm_fcn21low1000_1_ma50,lstm_fcn,2,low,1000,1,1,50,0.7107226325280857
20,lstm_fcn21low500_1_ma50,lstm_fcn,2,low,500,1,1,50,0.7086318104625478
21,my11low500_1_ma100,my,1,low,500,1,1,100,0.7116919908298526
22,my11low500_1_ma50,my,1,low,500,1,1,50,0.7063497996327507
23,my11low500_1_ma75,my,1,low,500,1,1,75,0.7131847065247495
24,my11low500_2_ma100,my,1,low,500,1,2,100,0.7164148924313762
25,my11low500_2_ma50,my,1,low,500,1,2,50,0.706304064547521
26,my11low500_2_ma75,my,1,low,500,1,2,75,0.7154635154527011
27,my21low500_1_ma100,my,2,low,500,1,1,100,0.7157283828455019
28,my21low500_1_ma50,my,2,low,500,1,1,50,0.706149593050503
29,my21low500_1_ma75,my,2,low,500,1,1,75,0.7123571038148928
30,my21low500_2_ma100,my,2,low,500,1,2,100,0.7076565209474766
31,my21low500_2_ma50,my,2,low,500,1,2,50,0.7155910715038385
32,my21low500_2_ma75,my,2,low,500,1,2,75,0.7058311939485307
