,id,model,elayer,filter,seq_len,dlayer,fc,ma,acc
0,Autoformer21low1000_2_ma50,Autoformer,2,low,1000,1,2,50,0.4148837458220485
1,Crossformer21low1000_2_ma50,Crossformer,2,low,1000,1,2,50,0.5114297152082931
2,DLinear21low1000_2_ma50,DLinear,2,low,1000,1,2,50,0.5878273267400388
3,FEDformer21low1000_2_ma50,FEDformer,2,low,1000,1,2,50,0.3731562987420653
4,Informer21low1000_2_ma50,Informer,2,low,1000,1,2,50,0.6840267081522936
5,LightTS21low1000_2_ma50,LightTS,2,low,1000,1,2,50,0.6525687505764406
6,Nonstationary_Transformer21low1000_2_ma50,NSformer,2,low,1000,1,2,50,0.6943019924135861
7,PatchTST21low1000_2_ma50,PatchTST,2,low,1000,1,2,50,0.450419849688547
8,Pyraformer21low1000_2_ma50,Pyraformer,2,low,1000,1,2,50,0.6749960820526815
9,Reformer21low1000_2_ma50,Reformer,2,low,1000,1,2,50,0.6807884578584866
10,TimesNet21low1000_2_ma50,TimesNet,2,low,1000,1,2,50,0.6584287243958168
11,Transformer21low1000_2_ma50,Transformer,2,low,1000,1,2,50,0.6701629020732832
12,bp21low1000_2_ma50,bp,2,low,1000,1,2,50,0.6704238801837324
13,consinc_net21low1000_2_ma50,consinc_net,2,low,1000,1,2,50,0.47535855964638013
14,conv_net21low1000_2_ma50,conv_net,2,low,1000,1,2,50,0.7095855152783792
15,conv_next21low1000_2_ma50,conv_next,2,low,1000,1,2,50,0.5093886565918087
16,fcn21low1000_2_ma50,fcn,2,low,1000,1,2,50,0.7060760722967333
17,lstm21low1000_2_ma50,lstm,2,low,1000,1,2,50,0.7009079687180577
18,lstm_fcn21low1000_2_ma50,lstm_fcn,2,low,1000,1,2,50,0.7148972955445284
