,id,model,elayer,filter,seq_len,dlayer,fc,ma,acc
0,Autoformer21mean1000_2_ma,Autoformer,2,mean,1000,1,2,,0.3907902020924718
1,Autoformer21mean250_2_ma,Autoformer,2,mean,250,1,2,,0.4032090229954964
2,Autoformer21mean500_2_ma,Autoformer,2,mean,500,1,2,,0.37384271346677667
3,Crossformer21mean1000_2_ma,Crossformer,2,mean,1000,1,2,,0.6627301637286008
4,Crossformer21mean250_2_ma,Crossformer,2,mean,250,1,2,,0.6030183750294462
5,Crossformer21mean500_2_ma,Crossformer,2,mean,500,1,2,,0.6173019027056443
6,DLinear21mean1000_2_ma,DLinear,2,mean,1000,1,2,,0.6354773477120644
7,DLinear21mean250_2_ma,DLinear,2,mean,250,1,2,,0.6309168097742738
8,DLinear21mean500_2_ma,DLinear,2,mean,500,1,2,,0.6190442354242843
9,FEDformer21mean1000_2_ma,FEDformer,2,mean,1000,1,2,,0.35155138257813257
10,FEDformer21mean250_2_ma,FEDformer,2,mean,250,1,2,,0.4277855392536697
11,FEDformer21mean500_2_ma,FEDformer,2,mean,500,1,2,,0.41372192640084615
12,Informer21mean1000_2_ma,Informer,2,mean,1000,1,2,,0.7045772980695181
13,Informer21mean250_2_ma,Informer,2,mean,250,1,2,,0.6393975908917595
14,Informer21mean500_2_ma,Informer,2,mean,500,1,2,,0.6930610324205768
15,Nonstationary_Transformer21mean250_2_ma,NSformer,2,mean,250,1,2,,0.6276995548880449
16,Nonstationary_Transformer21mean500_2_ma,NSformer,2,mean,500,1,2,,0.5883538384366599
17,PatchTST21mean1000_2_ma,PatchTST,2,mean,1000,1,2,,0.406824918162297
18,PatchTST21mean250_2_ma,PatchTST,2,mean,250,1,2,,0.4186065270124571
19,PatchTST21mean500_2_ma,PatchTST,2,mean,500,1,2,,0.409015112238464
20,Pyraformer21mean1000_2_ma,Pyraformer,2,mean,1000,1,2,,0.6969418899611753
21,Pyraformer21mean250_2_ma,Pyraformer,2,mean,250,1,2,,0.6673093923344897
22,Pyraformer21mean500_2_ma,Pyraformer,2,mean,500,1,2,,0.7343930152172864
23,Reformer21mean1000_2_ma,Reformer,2,mean,1000,1,2,,0.6787590305323067
24,Reformer21mean250_2_ma,Reformer,2,mean,250,1,2,,0.6119306914672146
25,Reformer21mean500_2_ma,Reformer,2,mean,500,1,2,,0.6529549520589167
26,TimesNet21mean1000_2_ma,TimesNet,2,mean,1000,1,2,,0.6818624455480224
27,TimesNet21mean250_2_ma,TimesNet,2,mean,250,1,2,,0.6271201502767175
28,TimesNet21mean500_2_ma,TimesNet,2,mean,500,1,2,,0.6630213888888585
29,Transformer21mean250_2_ma,Transformer,2,mean,250,1,2,,0.6507717876114981
30,Transformer21mean500_2_ma,Transformer,2,mean,500,1,2,,0.6752394286812242
31,bp21mean1000_2_ma,bp,2,mean,1000,1,2,,0.6894442487864326
32,bp21mean250_2_ma,bp,2,mean,250,1,2,,0.6435456944748963
33,bp21mean500_2_ma,bp,2,mean,500,1,2,,0.6956343193226509
34,conv_net21mean1000_2_ma,conv_net,2,mean,1000,1,2,,0.7165800787769919
35,conv_net21mean250_2_ma,conv_net,2,mean,250,1,2,,0.5906120468431444
36,conv_net21mean500_2_ma,conv_net,2,mean,500,1,2,,0.6620098799256315
37,conv_next21mean1000_2_ma,conv_next,2,mean,1000,1,2,,0.6496393019935585
38,conv_next21mean250_2_ma,conv_next,2,mean,250,1,2,,0.651166789925868
39,conv_next21mean500_2_ma,conv_next,2,mean,500,1,2,,0.6623234380411658
40,fcn21mean1000_2_ma,fcn,2,mean,1000,1,2,,0.6907410072187833
41,fcn21mean250_2_ma,fcn,2,mean,250,1,2,,0.6323160177166139
42,fcn21mean500_2_ma,fcn,2,mean,500,1,2,,0.697192596439607
43,fcn_m21mean1000_2_ma,fcn_m,2,mean,1000,1,2,,0.6874174578700896
44,fcn_m21mean250_2_ma,fcn_m,2,mean,250,1,2,,0.6352739676527569
45,fcn_m21mean500_2_ma,fcn_m,2,mean,500,1,2,,0.7005084274421287
46,lstm21mean1000_2_ma,lstm,2,mean,1000,1,2,,0.7292133562058498
47,lstm21mean250_2_ma,lstm,2,mean,250,1,2,,0.6444804552343746
48,lstm21mean500_2_ma,lstm,2,mean,500,1,2,,0.6692357328972072
49,lstm_fcn21mean1000_2_ma,lstm_fcn,2,mean,1000,1,2,,0.6811220403590472
50,lstm_fcn21mean250_2_ma,lstm_fcn,2,mean,250,1,2,,0.6467398484033167
51,lstm_fcn21mean500_2_ma,lstm_fcn,2,mean,500,1,2,,0.652528418383041
52,my21mean1000_2_ma,my,2,mean,1000,1,2,,0.5888629081495672
53,my21mean250_2_ma,my,2,mean,250,1,2,,0.6179685408908632
54,my21mean500_2_ma,my,2,mean,500,1,2,,0.6172368948233771
